色名,L,a,b
無垢,97.17,2.74,-10.66
スノーホワイト,96.1,1.23,-4.15
白,94.76,-1.52,8.55
ナチュラル,93.23,-1.07,17.46
うすクリーム,92.93,-0.79,19.15
グレー05,90.58,1.5,4.66
グレー10,86.01,3.09,5.24
グレー20,80.35,2.7,3.38
グレー30,74.04,1.83,2.47
グレー40,64.55,0.99,0.85
グレー50,56.14,0.64,-0.4
グレー70,40.49,-0.26,-0.93
グレー90,34.16,0.2,0.68
黒,29.29,-1.03,1.35
漆黒,21.48,-0.17,0.05
しろ鼠,85.87,3.12,11.93
びゃくろく,81.21,2.49,11.45
銀鼠,73.75,0.53,9.63
鼠,73.76,5.4,8.21
うもれぎ,69.48,3.77,8.02
灰鼠,57.41,5.37,10.51
シルバー,78.98,0.83,4.74
青鼠,69.92,-1.31,2.18
鉛,56.02,-2,1.52
きなり,79.47,6.57,16.77
カシミヤ,74.25,7.01,17.83
白茶,71.77,10.16,22.34
かすみ,81.28,5.75,8.42
にぶ赤鼠,66.94,6.46,11.89
うす鼠,75.17,5.85,18.8
ベージュ,69.9,6.9,15.67
すないろ,63.73,3.72,18.09
ベージュホワイト,87.22,3.41,11.27
パールピンク,87.81,4.26,6.75
ホワイトローズ,88.51,7,5.4
ラベンダー,82.1,4.44,-0.86
ライトブルー,82.46,-0.85,-3.32
ペールグリーン,87.79,-2.22,5.15
ティーグリーン,83.66,1.42,7.88
クリーム,87.18,6.16,36.88
象牙,89.03,5.96,22.51
古染,83.39,8.49,20.03
桃,81.4,12.09,12.51
ピンク,87.77,11.12,11.68
べに鮭,73.83,28.59,19.62
ばら,80.25,21.38,7.13
にぶ桃,66.22,20.78,0.84
梅鼠,57.98,11.05,0.99
うす藤紫,66.96,6.01,-16.19
にぶ藤,59.46,5.26,-6.86
うす藤,62.52,1.88,-9.24
うす青,65.19,-3.37,-16.26
みずいろ,74.29,-8.62,-10.12
にぶ空,64.65,-11.97,-9.88
濃あさぎ,65.49,-21.77,-12.77
にぶあさぎ,71.5,-11.89,-2.17
あさぎ,77.27,-15.01,-0.59
うすあさぎ,80.16,-8.98,9.8
若葉,70.68,-14.72,24.82
ひわ,80.39,-2.94,27.37
ひまわり,90.24,-4.76,78.64
黄色,84.79,4.47,68.38
山吹,77.38,18.49,59.86
からし,67.45,23.24,56.78
オレンジ,66.31,31.64,60.09
あんず,56.53,31.02,40.6
朱,54.76,50.94,37.3
緋色,45.43,42.37,26.76
濃赤,40.26,49.76,24.5
赤,44.65,48.64,11.81
こうばい,61.27,40.51,-1
ぼたん,63.76,35.04,-10.64
藤,61.5,17.7,-18.91
群青,49.47,-3.43,-30.1
空,58.53,-7.61,-27.09
濃青,51.59,-16.73,-29.8
るり,57.21,-24.19,-29.87
うするり,71.42,-29.18,-12.82
青緑,58.09,-36.21,-11.94
緑,55.35,-34.35,11.49
あさ緑,74.4,-33.65,23.26
若緑,68.2,-28.15,48.39
黄緑,71.29,-14.08,50.94
もえぎ,71.72,1.13,56.8
にぶ黄,73.91,5.96,57.55
栗,71.29,15.71,42.74
くるみ,55.61,5.64,20.4
すすき,60.99,12.89,19.14
たばこ,55.87,19.19,32.07
赤茶,54.18,32.92,33.12
あずき,56.74,23.92,14.96
べんがら,45.81,31.9,21.37
べに,41.87,42.12,14.65
からべに,45.21,37.25,11.79
あざみ,49.36,22.45,2.14
濃紫,48.65,14.8,-9.55
藤紫,46.4,13.4,-16.24
紺,39.19,1.69,-17.5
はなだ,51.23,-1.18,-7.76
にぶ青,53.19,-9.04,-10.99
なんど,41.03,-10.95,-9.39
うすはなだ,63.09,-7.66,3.84
新橋,45.71,-18.28,6.35
濃緑,41.6,-10.36,13
にぶ緑,52.96,-12.93,25.79
草,49.51,-9.06,24.93
にぶひわ,71.87,-1.61,10.28
オリーブ,53.98,-2.09,30.42
わらび,62.22,4.88,38.14
濃黄土,51.75,9.41,37.05
セピア,45.04,8.53,16.35
濃茶,39.81,10.92,14.3
えんじ,37.06,21.76,2.59
ぶどう,37.75,14.38,-1.86
あい,33.48,-1.68,-14.48
濃あい,29.83,-0.44,-7.77
鉄,30.03,-5.48,-2.71
ときわ,31.16,-5.06,8.52
濃松葉,32.83,-1.31,10.12
くち葉,37.31,2.73,8.58
